question,answer
Can I return a product bought during a sale?,"Yes, sale items follow the same return policy unless marked non-returnable."
How do I apply for a product replacement under warranty?,Raise a ticket with the invoice and defect details; we guide you to the service center.
Do you have student discounts?,"Yes, verify your student ID to unlock a 10% discount on select items."
What if I receive an expired product?,Raise a return immediately; we will provide a full refund or replacement.
How can I find the nearest service centre?,Visit the brand’s website or contact us for authorised service centre locations.
Can I add a delivery instruction?,You can add notes like ‘Leave with security’ during checkout.
Why is my return request rejected?,"Returns are rejected if beyond the return window, item used or damaged, or missing tags."
How to change language on the website?,"Use the language selector at the top of the page. Hindi, English, and 8 others available."
Can I order a product to a different city?,"Yes, enter the desired delivery address at checkout."
What is your policy for perishable items?,Perishable items cannot be returned unless damaged or spoiled upon arrival.
How are refunds issued for COD orders?,Refunds for COD orders are transferred to your bank account after you provide details.
How can I track the delivery partner?,The tracking page shows the courier name and contact details.
Can I get a product demo before buying?,"We do not offer physical demos, but video demonstrations are on select product pages."
How do I know if my order is confirmed?,You’ll receive an SMS and email confirmation with the order ID.
What if my order is delayed?,"If it exceeds the expected delivery date by more than 2 days, raise a ticket for an update."
Do you have an exchange offer for old gadgets?,"Yes, check the ‘Exchange’ option on product pages for eligible gadgets."
How to subscribe to a product?,Select the ‘Subscribe & Save’ option on eligible grocery products.
Can I return underwear or personal hygiene items?,"For hygiene reasons, these items are not returnable unless defective."
What if the delivered product colour is different?,You can request an exchange for the correct colour within 7 days.
How to update my email address?,Go to Account Settings -> Personal Info and update your email.
What is the minimum order amount for free gifts?,Free gift conditions vary by promotion; check the offer banner.
Do you offer installation support over a call?,"For simple setups, we provide a call guide; for appliances, paid installation is available."
Can I cancel a replacement request?,"Yes, if the new item hasn’t shipped, you can cancel the replacement."
What is your policy on digital products?,"Digital products (e‑books, software) cannot be returned once downloaded."
How do I check my order history?,Go to ‘My Orders’ under your account to see all past purchases.
Is UPI payment instant?,"Yes, UPI payments are processed instantly, and the order is confirmed right away."
What if my wallet deduction failed?,"If the amount was deducted, it will be reversed within 24 hours; contact support otherwise."
Can I split payment between wallet and card?,"Yes, select wallet first, then pay the remaining amount with another method."
How do I get a replacement for a defective part?,"Raise a ticket; if under warranty, the manufacturer will replace the defective part."
Do you sell used books?,"Yes, look for the ‘Pre‑loved Books’ category."
How can I cancel my subscription?,Go to ‘My Subscriptions’ and select ‘Cancel’ for the item.
What if the product received is different from the image?,"We ensure accurate images; slight variations in colour may occur. If significantly different, return it."
How are exchange values calculated for old phones?,Answer a few questions about the device condition to get an estimated value.
Can I get a duplicate invoice?,"Yes, you can download the invoice again from the order details page."
Is there an option for same-day delivery?,Same-day delivery is available in select pin codes for an extra fee.
How do I find my PIN code serviceability?,Enter the PIN code on the product page to check delivery availability.
Can I place an order over the phone?,Orders can only be placed through the website or app for security reasons.
What is your policy on duplicate charges?,"Duplicate charges are auto-reversed; if not, contact support with transaction details."
How do I retrieve my forgotten order ID?,Check your email/SMS for ‘Order Confirmation’ or visit ‘My Orders’ if logged in.
What is the minimum age to place an order?,You must be 18 years or older to place an order.
Can I buy medicines on your platform?,We do not sell prescription medicines. OTC wellness products are available.
How to check if a seller is verified?,All sellers go through verification; look for the ‘Verified Seller’ badge.
How do I get notified when an item is back in stock?,Click ‘Notify Me’ on the out-of-stock product page.
What are the delivery charges for heavy items?,Heavy items may have additional handling charges; these are shown at checkout.
Can I schedule a pickup for returns?,"Yes, select a convenient date and time slot during the return process."
Do you accept international credit cards?,We accept major international cards if enabled for online transactions in India.
What if my UPI app shows payment pending?,"Wait for 30 minutes; if the order isn’t confirmed, contact support with the UPI reference ID."
How do I know the authenticity of a luxury product?,Luxury items come with brand authenticity cards and serial numbers.
Can I change the size after placing an order?,Size cannot be changed after order placement; cancel and reorder the correct size.
How do I report a fake product?,Contact support immediately with evidence; we will investigate and refund.
What is the maximum number of products I can compare?,You can compare up to 4 products at a time.
How can I add an item to my wishlist?,Click the heart icon on any product to add it to your wishlist.
Do you offer no-cost EMI?,"Yes, no-cost EMI is available on select products using eligible credit cards."
How can I remove my saved card details?,Go to Payments -> Saved Cards and delete the card you want to remove.
What if my product stops working after a month?,"Check warranty status; if covered, raise a ticket for repair/replacement."
Can I return a product if I simply don’t like it?,"Yes, you can return it within the return window if it’s in original condition."
How do I close my support ticket?,"You can mark a ticket as ‘Resolved’ from your support dashboard, or we close it after resolution."
What if the courier asks for extra money?,Do not pay; report the incident to us with the courier details.
How are refunds for partially returned orders calculated?,Only the returned item’s price is refunded; shipping charges are non-refundable.
Can I view product dimensions before buying?,"Yes, dimensions are listed under the ‘Specifications’ section on the product page."
How do I become a VIP member?,VIP membership is invitation-only based on purchase history and engagement.
Is there a limit on using cashback points?,You can redeem up to 70% of the order value using points.
Can I use an old refund to pay for a new order?,Refunds go to your bank/wallet; you can use that balance for future orders.
What if the product is marked as delivered but I received an empty box?,Raise a ticket immediately; we’ll investigate and reship or refund.
How can I request a cancellation if the order is shipped?,"Contact support immediately; we can try to intercept the shipment, but it’s not guaranteed."
Do you charge a restocking fee?,No restocking fee for returns within policy. Large appliances may have a pickup charge.
How to check my cashback balance?,Go to ‘My Wallet’ to see your cashback points balance and history.
Can I use a coupon with an already discounted product?,Coupons may not apply to items that are already on sale; check coupon terms.
What is the ‘Request a Call’ feature?,"On the help page, you can request a call back for complex issues."
How long is the warranty for refurbished products?,Refurbished products typically have a 3-6 month warranty.
What is the return period for clothing?,Clothing can be returned within 15 days if unworn and with tags.
How do I get a price-drop refund if I bought with price protection?,We do not offer automatic price protection; some cards offer it separately.
How can I get product support after warranty?,You can contact the brand’s paid service centre or our partner repair services.
Can I order multiple addresses in one transaction?,"No, place separate orders for different delivery addresses."
What if my international payment failed?,Check international transaction settings with your bank; try again or use an alternative method.
